Sample_Name;Sample_SSample_L001
BactV5V7-BC373-244_L001;BactV5V7-BC373-244_S373_L001
BactV5V7-BC374-245_L001;BactV5V7-BC374-245_S374_L001
BactV5V7-BC375-246_L001;BactV5V7-BC375-246_S375_L001
BactV5V7-BC376-247_L001;BactV5V7-BC376-247_S376_L001
BactV5V7-BC377-248_L001;BactV5V7-BC377-248_S377_L001
BactV5V7-BC378-249_L001;BactV5V7-BC378-249_S378_L001
BactV5V7-BC264-Cas_L001;BactV5V7-BC264-Cas_S264_L001
BactV5V7-BC266-Cas_L001;BactV5V7-BC266-Cas_S266_L001
BactV5V7-BC267-Cas_L001;BactV5V7-BC267-Cas_S267_L001
BactV5V7-BC379-Cas_L001;BactV5V7-BC379-Cas_S379_L001
BactV5V7-BC380-Cas_L001;BactV5V7-BC380-Cas_S380_L001
BactV5V7-BC381-Cas_L001;BactV5V7-BC381-Cas_S381_L001
BactV5V7-BC382-Cas_L001;BactV5V7-BC382-Cas_S382_L001
BactV5V7-BC265-neg_L001;BactV5V7-BC265-neg_S265_L001
BactV5V7-BC272-neg_L001;BactV5V7-BC272-neg_S272_L001
BactV5V7-BC383-neg_L001;BactV5V7-BC383-neg_S383_L001
