Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
BactV5V7-BC29-70_S29_L001	Bact_S70	70	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC301-71_S301_L001	Bact_S71	71	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC302-72_S302_L001	Bact_S72	72	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC30-73_S30_L001	Bact_S73	73	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC31-74_S31_L001	Bact_S74	74	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC303-75_S303_L001	Bact_S75	75	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC304-76_S304_L001	Bact_S76	76	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
BactV5V7-BC222-77_S222_L001	Bact_S77	77	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC223-78_S223_L001	Bact_S78	78	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC224-79_S224_L001	Bact_S79	79	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC225-80_S225_L001	Bact_S80	80	H. vulgare	BI1	Soil	14 dpi	Hv	Hv_BI1_14dpi_Soil
BactV5V7-BC32-81_S32_L001	Bact_S81	81	H. vulgare	GP	Roots	14 dpi	Hv	Hv_GP_14dpi_Roots
BactV5V7-BC226-82_S226_L001	Bact_S82	82	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC227-83_S227_L001	Bact_S83	83	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC228-84_S228_L001	Bact_S84	84	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC229-85_S229_L001	Bact_S85	85	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC238-86_S238_L001	Bact_S86	86	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC231-87_S231_L001	Bact_S87	87	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC232-88_S232_L001	Bact_S88	88	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
BactV5V7-BC33-89_S33_L001	Bact_S89	89	H. vulgare	BI1	Roots	14 dpi	Hv	Hv_BI1_14dpi_Roots
BactV5V7-BC233-90_S233_L001	Bact_S90	90	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC234-91_S234_L001	Bact_S91	91	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC235-92_S235_L001	Bact_S92	92	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC236-93_S236_L001	Bact_S93	93	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC237-94_S237_L001	Bact_S94	94	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC230-95_S230_L001	Bact_S95	95	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC239-96_S239_L001	Bact_S96	96	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
BactV5V7-BC240-97_S240_L001	Bact_S97	97	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC241-98_S241_L001	Bact_S98	98	A. thaliana	BI1	Soil	14 dpi	At	At_BI1_14dpi_Soil
BactV5V7-BC273-99_S273_L001	Bact_S99	99	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
BactV5V7-BC242-100_S242_L001	Bact_S100	100	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
BactV5V7-BC243-101_S243_L001	Bact_S101	101	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
BactV5V7-BC244-102_S244_L001	Bact_S102	102	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
BactV5V7-BC245-103_S245_L001	Bact_S103	103	A. thaliana	Col-0	Soil	14 dpi	At	At_Col-0_14dpi_Soil
BactV5V7-BC274-104_S274_L001	Bact_S104	104	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
