X.Sample_Name...Short_Sample	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
Fun_S136	Fun_S136	136	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S137	Fun_S137	137	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S138	Fun_S138	138	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S139	Fun_S139	139	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S140	Fun_S140	140	A. thaliana	Col-0	Roots	14 dpi	At	At_Col-0_14dpi_Roots
Fun_S141	Fun_S141	141	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S142	Fun_S142	142	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S143	Fun_S143	143	A. thaliana	BI1	Roots	14 dpi	At	At_BI1_14dpi_Roots
Fun_S144	Fun_S144	144	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S145	Fun_S145	145	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S146	Fun_S146	146	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S147	Fun_S147	147	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S148	Fun_S148	148	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S149	Fun_S149	149	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S150	Fun_S150	150	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S151	Fun_S151	151	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S152	Fun_S152	152	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S153	Fun_S153	153	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S154	Fun_S154	154	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S155	Fun_S155	155	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S156	Fun_S156	156	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S157	Fun_S157	157	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S158	Fun_S158	158	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S159	Fun_S159	159	A. thaliana	Col-0	Soil	28 dpi	At	At_Col-0_28dpi_Soil
Fun_S160	Fun_S160	160	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S161	Fun_S161	161	A. thaliana	BI1	Soil	28 dpi	At	At_BI1_28dpi_Soil
Fun_S162	Fun_S162	162	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S163	Fun_S163	163	A. thaliana	Col-0	Rhizoplane	28 dpi	At	At_Col-0_28dpi_Rhizoplane
Fun_S164	Fun_S164	164	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S165	Fun_S165	165	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S166	Fun_S166	166	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S167	Fun_S167	167	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S168	Fun_S168	168	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S169	Fun_S169	169	A. thaliana	BI1	Rhizosphere	28 dpi	At	At_BI1_28dpi_Rhizosphere
Fun_S170	Fun_S170	170	A. thaliana	Col-0	Rhizosphere	28 dpi	At	At_Col-0_28dpi_Rhizosphere
Fun_S171	Fun_S171	171	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S172	Fun_S172	172	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S173	Fun_S173	173	A. thaliana	BI1	Roots	28 dpi	At	At_BI1_28dpi_Roots
Fun_S174	Fun_S174	174	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S175	Fun_S175	175	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S176	Fun_S176	176	A. thaliana	Col-0	Roots	28 dpi	At	At_Col-0_28dpi_Roots
Fun_S177	Fun_S177	177	A. thaliana	BI1	Rhizoplane	28 dpi	At	At_BI1_28dpi_Rhizoplane
Fun_S178	Fun_S178	178	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S179	Fun_S179	179	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S180	Fun_S180	180	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S181	Fun_S181	181	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S182	Fun_S182	182	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S183	Fun_S183	183	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S184	Fun_S184	184	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S185	Fun_S185	185	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S186	Fun_S186	186	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S187	Fun_S187	187	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S188	Fun_S188	188	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S189	Fun_S189	189	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S190	Fun_S190	190	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S191	Fun_S191	191	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S192	Fun_S192	192	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S193	Fun_S193	193	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S194	Fun_S194	194	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S195	Fun_S195	195	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S196	Fun_S196	196	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S197	Fun_S197	197	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S198	Fun_S198	198	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S199	Fun_S199	199	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S200	Fun_S200	200	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S201	Fun_S201	201	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S202	Fun_S202	202	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S203	Fun_S203	203	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S204	Fun_S204	204	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S205	Fun_S205	205	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S206	Fun_S206	206	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S207	Fun_S207	207	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
Fun_S208	Fun_S208	208	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S209	Fun_S209	209	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S210	Fun_S210	210	H. vulgare	BI1	Roots	28 dpi	Hv	Hv_BI1_28dpi_Roots
Fun_S211	Fun_S211	211	H. vulgare	GP	Roots	28 dpi	Hv	Hv_GP_28dpi_Roots
Fun_S212	Fun_S212	212	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S213	Fun_S213	213	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
Fun_S214	Fun_S214	214	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
Fun_S215	Fun_S215	215	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
Fun_S216	Fun_S216	216	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
