#Sample_Name	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
OomITS-BC3-3_L001	3	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC25-30_L001	30	H. vulgare	GP	soil	14 dpi	Hv	Hv_GP_14dpi_soil
OomITS-BC26-31_L001	31	H. vulgare	BI1	soil	14 dpi	Hv	Hv_BI1_14dpi_soil
OomITS-BC27-32_L001	32	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC28-33_L001	33	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC80-34_L001	34	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC81-35_L001	35	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC29-36_L001	36	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC30-37_L001	37	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC31-38_L001	38	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC82-39_L001	39	A. thaliana	BI1	Rhizoplane	14 dpi	At	At_BI1_14dpi_Rhizoplane
OomITS-BC4-4_L001	4	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC32-40_L001	40	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC33-41_L001	41	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC34-42_L001	42	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC35-43_L001	43	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC36-44_L001	44	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC37-45_L001	45	A. thaliana	BI1	Rhizosphere	14 dpi	At	At_BI1_14dpi_Rhizosphere
OomITS-BC38-46_L001	46	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC39-47_L001	47	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC40-48_L001	48	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC41-49_L001	49	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC5-5_L001	5	H. vulgare	GP	Rhizosphere	14 dpi	Hv	Hv_GP_14dpi_Rhizosphere
OomITS-BC42-50_L001	50	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC43-51_L001	51	A. thaliana	Col-0	roots	14 dpi	At	At_Col-0_14dpi_roots
OomITS-BC44-52_L001	52	A. thaliana	BI1	roots	14 dpi	At	At_BI1_14dpi_roots
OomITS-BC83-53_L001	53	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC84-54_L001	54	A. thaliana	Col-0	Rhizoplane	14 dpi	At	At_Col-0_14dpi_Rhizoplane
OomITS-BC45-55_L001	55	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC46-56_L001	56	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC47-57_L001	57	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC48-58_L001	58	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC49-59_L001	59	H. vulgare	GP	roots	14 dpi	Hv	Hv_GP_14dpi_roots
OomITS-BC6-6_L001	6	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC50-60_L001	60	A. thaliana	Col-0	Rhizosphere	14 dpi	At	At_Col-0_14dpi_Rhizosphere
OomITS-BC51-61_L001	61	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC52-62_L001	62	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC53-63_L001	63	H. vulgare	BI1	Rhizosphere	14 dpi	Hv	Hv_BI1_14dpi_Rhizosphere
OomITS-BC54-64_L001	64	A. thaliana	BI1	soil	14 dpi	At	At_BI1_14dpi_soil
OomITS-BC55-65_L001	65	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC56-66_L001	66	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
OomITS-BC57-67_L001	67	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC58-68_L001	68	H. vulgare	BI1	roots	14 dpi	Hv	Hv_BI1_14dpi_roots
OomITS-BC59-69_L001	69	A. thaliana	Col-0	soil	14 dpi	At	At_Col-0_14dpi_soil
