Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
49;BactV5V7-BC33-89_S33_L001;Bact_S89;89;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;2.24453780124664;0.79197087765874
50;BactV5V7-BC331-186_S331_L001;Bact_S186;186;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.81879524959865;0.0612823453184508
51;BactV5V7-BC332-187_S332_L001;Bact_S187;187;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.65053304170317;0.0612823453184508
52;BactV5V7-BC333-188_S333_L001;Bact_S188;188;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.620161337179;0.0917615760105841
53;BactV5V7-BC334-189_S334_L001;Bact_S189;189;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.70143885176795;0.0917615760105841
54;BactV5V7-BC335-190_S335_L001;Bact_S190;190;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.86630292779411;0.0917615760105841
55;BactV5V7-BC336-191_S336_L001;Bact_S191;191;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.53983364645038;0.0917615760105841
56;BactV5V7-BC337-192_S337_L001;Bact_S192;192;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.58859813532941;0.0917615760105841
57;BactV5V7-BC338-193_S338_L001;Bact_S193;193;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.54112640497603;0.0917615760105841
58;BactV5V7-BC339-194_S339_L001;Bact_S194;194;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.72029829795753;0.0612823453184508
59;BactV5V7-BC340-204_S340_L001;Bact_S204;204;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.49009075899982;0.0917615760105841
60;BactV5V7-BC341-206_S341_L001;Bact_S206;206;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.98927107343611;0.0917615760105841
61;BactV5V7-BC342-207_S342_L001;Bact_S207;207;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.65578797030401;0.0612823453184508
62;BactV5V7-BC343-208_S343_L001;Bact_S208;208;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.88483666622404;0.0917615760105841
63;BactV5V7-BC344-212_S344_L001;Bact_S212;212;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.72006858733069;0.0917615760105841
64;BactV5V7-BC345-213_S345_L001;Bact_S213;213;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.55876813488022;0.0917615760105841
65;BactV5V7-BC346-214_S346_L001;Bact_S214;214;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.63021584704753;0.0917615760105841
66;BactV5V7-BC348-216_S348_L001;Bact_S216;216;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.63020749879783;0.0917615760105841
67;BactV5V7-BC349-220_S349_L001;Bact_S220;220;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;3.69553662752647;0.0917615760105841
68;BactV5V7-BC350-221_S350_L001;Bact_S221;221;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.58999228837513;0.0612823453184508
69;BactV5V7-BC351-222_S351_L001;Bact_S222;222;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;3.71127282749533;0.0917615760105841
70;BactV5V7-BC352-223_S352_L001;Bact_S223;223;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;3.84503517780777;0.0612823453184508
71;BactV5V7-BC353-224_S353_L001;Bact_S224;224;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;3.61718884528747;0.0612823453184508
