V1;X01D2Z36;X0319.6G20;X053A03.B.DI.P58;X27F.1492R;X37.13;X67.14;A0839;A21b;A4b;AB1;AKIW781;AKYH767;Acetobacteraceae;Acidiferrobacteraceae;Acidimicrobiaceae;Acidobacteriaceae..Subgroup.1.;Acidothermaceae;Actinobacteria.bacterium.RBG_13_63_9;Actinomycetaceae;Aerococcaceae;Aeromonadaceae;Alicyclobacillaceae;Alteromonadaceae;Ambiguous_taxa;Amoebophilaceae;Archangiaceae;Ardenticatenaceae;Atopobiaceae;Azospirillaceae;B1.7BS;BIrii41;BSV26;Babeliaceae;Bacillaceae;Bacteriovoracaceae;Bacteroidetes.vadinHA17;Bdellovibrionaceae;Beggiatoaceae;Beijerinckiaceae;Bifidobacteriaceae;Blfdi19;Brevibacteriaceae;Burkholderiaceae;CPla.3.termite.group;Caedibacteraceae;Caldicoprobacteraceae;Caldilineaceae;Cardiobacteriaceae;Carnobacteriaceae;Catenulisporaceae;Caulobacteraceae;Cellulomonadaceae;Cellvibrionaceae;Chitinimonadaceae;Chitinophagaceae;Chlamydiaceae;Chloroflexaceae;Christensenellaceae;Chromobacteriaceae;Chthoniobacteraceae;Clostridiaceae.1;Clostridiaceae.2;Clostridiaceae.3;Clostridiales.Incertae.Sedis;Clostridiales.vadinBB60.group;Corynebacteriaceae;Coxiellaceae;Criblamydiaceae;Crocinitomicaceae;Cryptosporangiaceae;Cyclobacteriaceae;Cytophagaceae;D05.2;Deferribacteraceae;Defluviitaleaceae;Deinococcaceae;Demequinaceae;Dermabacteraceae;Desulfarculaceae;Desulfobulbaceae;Desulfovibrionaceae;Desulfuromonadaceae;Devosiaceae;Diplorickettsiaceae;Dongiaceae;Eel.36e1D6;Elsteraceae;Enterobacteriaceae;Enterococcaceae;Entotheonellaceae;Erysipelotrichaceae;Eubacteriaceae;FFCH16767;FFCH9454;Family.X;Family.XI;Family.XII;Family.XIII;Family.XVIII;Fibrobacteraceae;Fimbriimonadaceae;Flavobacteriaceae;Frankiaceae;Fusobacteriaceae;GWF2.29.10;Gaiellaceae;Gallionellaceae;Geminicoccaceae;Gemmataceae;Gemmatimonadaceae;Geobacteraceae;Geodermatophilaceae;Gracilibacteraceae;Haliangiaceae;Halieaceae;Halomonadaceae;Haloplasmataceae;Halothiobacillaceae;Heliobacteriaceae;Herpetosiphonaceae;Holophagaceae;Holosporaceae;Hydrogenophilaceae;Hymenobacteraceae;Hyphomicrobiaceae;Hyphomonadaceae;Iamiaceae;Ilumatobacteraceae;Inquilinaceae;Intrasporangiaceae;Isosphaeraceae;JG30.KF.AS9;JG30.KF.CM45;KD3.10;KD3.93;KF.JG30.B3;Kaistiaceae;Kineosporiaceae;Koribacteraceae;Ktedonobacteraceae;Labraceae;Lachnospiraceae;Lactobacillaceae;Latescibacteraceae;Legionellaceae;Lentimicrobiaceae;Leptospiraceae;Leptotrichiaceae;LiUU.11.161;Limnochordaceae;Lolium.perenne;Longimicrobiaceae;MSB.4B10;Magnetospiraceae;Magnetospirillaceae;Methylacidiphilaceae;Methylococcaceae;Methyloligellaceae;Methylophilaceae;Micavibrionaceae;Microbacteriaceae;Micrococcaceae;Micromonosporaceae;Micropepsaceae;Microscillaceae;Microtrichaceae;Midichloriaceae;Mitochondria;Moraxellaceae;Mycobacteriaceae;Myxococcaceae;NS11.12.marine.group;NS9.marine.group;Nakamurellaceae;Nannocystaceae;Neisseriaceae;Nitrosococcaceae;Nitrosomonadaceae;Nitrospiraceae;Nocardiaceae;Nocardioidaceae;Nocardiopsaceae;Oligoflexaceae;Opitutaceae;P3OB.42;Paenibacillaceae;Paludibacteraceae;Paracaedibacteraceae;Parachlamydiaceae;Parvibaculaceae;Pasteurellaceae;Pasteuriaceae;Pedosphaeraceae;Peptococcaceae;Peptostreptococcaceae;Phaselicystidaceae;Phycisphaeraceae;Pirellulaceae;Piscirickettsiaceae;Planococcaceae;Pleomorphomonadaceae;Polyangiaceae;Porphyromonadaceae;Prevotellaceae;Procabacteriaceae;Prolixibacteraceae;Promicromonosporaceae;Propionibacteriaceae;Pseudohongiellaceae;Pseudomonadaceae;Pseudonocardiaceae;Pyrinomonadaceae;Reyranellaceae;Rhizobiaceae;Rhizobiales.Incertae.Sedis;Rhodanobacteraceae;Rhodobacteraceae;Rhodocyclaceae;Rhodomicrobiaceae;Rhodopirillaceae;Rhodospirillaceae;Rhodothermaceae;Rickettsiaceae;Rikenellaceae;Roseiflexaceae;Rubrobacteriaceae;Ruminococcaceae;SC.I.84;SM2D12;SRB2;Saccharimonadaceae;Saccharum.hybrid.cultivar;Sandaracinaceae;Sanguibacteraceae;Saprospiraceae;Schlesneriaceae;Simkaniaceae;Solibacteraceae..Subgroup.3.;Solimonadaceae;Solirubrobacteraceae;Sphingobacteriaceae;Sphingomonadaceae;Spirosomaceae;Spongiibacteraceae;Sporichthyaceae;Staphylococcaceae;Steroidobacteraceae;Streptococcaceae;Streptomycetaceae;Streptosporangiaceae;Syntrophaceae;Syntrophomonadaceae;TRA3.20;Tepidisphaeraceae;Thermoactinomycetaceae;Thermoanaerobaculaceae;Thermomonosporaceae;Trueperaceae;UBA12409;UBA12411;URHD0088;Unknown.Family;VHS.B3.70;Veillonellaceae;Vermiphilaceae;Verrucomicrobiaceae;Vibrionaceae;Vulgatibacteraceae;WD2101.soil.group;Weeksellaceae;Woeseiaceae;Xanthobacteraceae;Xanthomonadaceae;Xiphinematobacteraceae;bac2nit3;bacteriap25;bacterium.Ellin6089;bacterium.enrichment.culture.clone.B30.2011.;cvE6;env.OPS.17;groundwater.metagenome;metagenome;mle1.27;possible.family.01;uncultured;uncultured.Acetobacteraceae.bacterium;uncultured.Acidimicrobiales.bacterium;uncultured.Acidimicrobidae.bacterium;uncultured.Aciditerrimonas.sp.;uncultured.Acidobacteria.bacterium;uncultured.Acidobacteriaceae.bacterium;uncultured.Acidobacteriales.bacterium;uncultured.Acidobacterium.sp.;uncultured.Acidothermaceae.bacterium;uncultured.Actinomycetales.bacterium;uncultured.Bradyrhizobiaceae.bacterium;uncultured.Candidatus.Saccharibacteria.bacterium;uncultured.Chloroflexi.bacterium;uncultured.Desulfoglaeba.sp.;uncultured.Green.Bay.ferromanganous.micronodule.bacterium.MND8;uncultured.Ignavibacterium.sp.;uncultured.Nakamurellaceae.bacterium;uncultured.Rhodospirillaceae.bacterium;uncultured.Rhodospirillales.bacterium;uncultured.Syntrophobacteraceae.bacterium;uncultured.Termite.group.1.bacterium;uncultured.Thermaerobacter.sp.;uncultured.actinobacterium;uncultured.alpha.proteobacterium;uncultured.bacterium;uncultured.bacterium..0319.6E22;uncultured.bacterium.KF.JG30.B11;uncultured.bacterium.SBR2096;uncultured.bacterium.SBRH58;uncultured.bacterium.gp7;uncultured.candidate.division.SBR1093.bacterium;uncultured.delta.proteobacterium;uncultured.gamma.proteobacterium;uncultured.organism;uncultured.prokaryote;uncultured.proteobacterium;uncultured.soil.bacterium
BactV5V7-BC19-44_S19_L001;6;0;110;0;0;0;11;0;0;0;9;0;0;4;0;0;0;0;0;0;0;0;158;266;6;0;0;0;0;4;0;0;0;11;616;65;0;264;0;3;0;9;0;9560;0;0;0;0;0;0;14;99;0;9;0;3553;0;0;0;0;0;83;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;91;49;0;0;87;43;0;0;0;0;0;0;0;7;0;0;0;0;970;0;0;0;15;0;0;0;16;59;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;11;4;0;10;0;0;0;0;0;0;0;0;0;7;0;0;0;97;0;12;39;92;0;30;0;0;391;16;0;0;0;0;0;0;22;0;9;0;13;12;0;29;0;0;1358;0;10;3;0;0;0;2;0;0;0;0;0;0;28;0;0;0;0;0;0;0;231;0;1787;169;0;3;727;0;7;10;5;0;0;0;0;53;0;0;0;9;0;0;0;0;0;0;0;0;0;7;6;0;6;0;198;2;0;0;52;8;19;5723;0;0;0;0;0;7;7;23;0;0;0;0;81;0;0;0;0;0;0;0;69;0;208;0;0;0;0;0;0;0;12;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC68-199_S68_L001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76;17;8;0;0;0;0;0;0;0;0;0;130;14;0;4;0;0;0;0;0;4450;0;0;0;0;0;0;0;83;0;300;0;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;10;0;5304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;11;0;21;0;506;0;0;599;0;0;0;0;0;0;0;20;0;6;0;23;3;0;21;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;22;5;15560;33;0;0;56;0;9;0;5;0;0;5;0;17;0;0;0;5;2;0;0;17;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;21;0;502;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;15;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC67-198_S67_L001;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;433;8;0;5;0;0;0;12;0;6287;0;3;0;0;0;0;0;28;0;0;0;183;0;0;0;0;0;6722;0;0;0;0;13;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;86;0;0;10177;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0;0;0;0;0;0;0;0;104;0;6;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;21;0;9;0;0;71;0;0;0;0;0;0;0;0;0;0;0;1091;0;0;14;0;0;385;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;202;0;0;5;0;0;23;0;82;33;0;0;353;0;0;5;4;0;0;16;0;7;0;0;0;7;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;32;0;1009;126;0;0;0;0;0;0;6;0;0;0;0;51;0;264;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC25-58_S25_L001;9;0;91;0;0;13;15;0;27;0;0;0;0;49;0;0;0;0;0;0;0;0;685;0;0;0;0;0;0;24;0;5;0;50;2379;30;0;6;0;87;0;0;0;7327;0;0;0;0;0;0;0;414;26;159;0;177;0;0;0;0;0;79;0;0;0;0;63;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;159;136;26;0;0;41;29;0;0;0;0;0;0;0;5;0;0;0;0;1925;0;0;0;35;0;0;0;26;114;7;17;28;0;5;0;0;0;0;0;18;0;19;0;0;9;18;0;136;0;0;0;0;0;0;0;29;0;0;0;21;0;0;4;0;0;0;0;11;0;0;0;0;31;0;0;42;72;0;149;136;83;6;28;0;0;180;71;9;0;39;0;0;0;0;0;47;3;2602;281;0;48;0;0;3231;0;119;24;0;0;0;32;13;37;0;0;0;0;109;0;152;0;0;27;0;0;115;0;1293;907;0;24;644;0;104;5;64;0;0;0;0;0;0;26;0;37;21;0;0;46;0;4;127;32;0;0;41;0;15;0;169;15;0;0;32;12;38;1797;0;0;0;0;0;26;0;49;0;0;0;0;130;0;0;0;0;0;0;0;49;0;213;131;0;0;0;0;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC62-184_S62_L001;0;0;56;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;46;2180;0;0;0;0;0;162;0;10;0;0;270;47;0;21;0;0;0;0;0;2908;0;0;0;0;0;0;0;120;74;33;0;91;0;0;0;0;0;155;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;39;0;0;0;29;0;0;0;0;0;0;6;0;0;0;0;0;1817;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;768;0;0;667;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;3;0;0;0;0;17768;0;0;0;641;0;0;0;7;0;0;0;0;4;0;0;0;12;0;0;0;43;0;0;0;0;0;10;0;0;0;6;0;5;0;0;0;13;11;100;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;6;0;0;0;0;22;0;0;7;0;0;0;0;0;0;25;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC2-7_S2_L001;42;0;61;0;0;0;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;28;14;0;11;0;3;67;0;0;0;0;225;36;0;38;0;30;0;0;0;5077;0;0;0;0;0;0;0;391;6;38;0;84;0;0;0;0;0;49;0;0;0;0;52;0;0;0;0;0;4;0;0;0;0;0;0;27;0;0;0;0;35;26;0;0;9907;13;0;0;0;0;0;0;0;5;0;0;0;0;1723;0;0;0;50;0;0;0;33;37;23;5;0;0;0;0;0;0;0;0;0;0;18;11;0;9;13;0;22;0;0;0;0;3;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;69;0;21;106;71;3;15;0;18;471;10;37;0;0;0;5;0;0;0;27;20;48;71;0;0;0;0;335;0;12;20;0;0;0;18;0;0;0;0;0;0;0;0;7;0;0;0;10;0;136;0;4562;0;0;36;162;0;11;0;15;0;0;0;0;0;0;8;2;0;24;0;0;0;0;0;0;0;0;4;17;0;0;17;58;0;0;18;0;16;34;3232;0;0;0;0;0;0;0;78;0;0;0;0;0;0;15;0;0;0;0;0;22;0;145;44;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;25;0;3;0;0;0;0;6;0;0;0;0;0
BactV5V7-BC224-79_S224_L001;512;0;62;0;0;0;269;0;82;0;0;0;0;6;0;9;13;0;13;0;0;8;31;219;35;0;115;0;0;105;0;22;0;0;509;111;0;108;0;166;0;0;0;10429;0;0;0;0;0;0;4;824;0;172;0;392;0;0;5;0;0;31;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;74;0;0;15;358;0;111;0;0;33;0;27;0;0;0;0;0;0;0;2;0;55;47;974;10;0;4;312;0;17;0;631;241;66;15;87;0;0;0;0;0;0;0;5;0;558;67;0;0;0;0;160;0;6;0;0;36;0;0;8;32;0;10;11;0;3;0;0;0;0;0;0;0;29;0;0;0;0;0;170;70;0;39;741;90;43;142;0;0;0;29;205;121;0;0;25;19;0;0;289;195;8;347;0;4;0;18;189;0;0;0;0;0;0;395;3;0;0;3;0;0;5;0;336;0;0;0;52;0;54;0;593;33;7;26;1043;37;11;0;346;0;0;0;0;0;0;187;13;28;678;2;0;6;0;0;0;0;0;5;194;4;89;14;992;16;2;22;0;176;0;349;17;0;0;32;0;2;22;23;0;0;0;0;61;0;0;0;0;0;8;0;27;0;727;291;0;0;33;0;0;2;61;0;5;0;0;553;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;55;0;0;0;0;0;0;10;0;0;0;0;0
BactV5V7-BC20-47_S20_L001;18;0;138;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;151;10;6;0;0;0;0;0;0;0;0;0;3165;168;0;15;0;0;0;0;0;8481;0;0;0;0;0;13;0;55;0;0;0;153;0;0;0;0;0;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;78;0;0;0;23;0;0;8;0;0;0;0;8;0;0;10;0;0;1827;0;0;0;27;0;3;0;43;39;46;20;12;0;0;0;0;0;0;0;0;0;0;5;0;7;9;0;17;0;0;0;0;0;0;0;27;0;0;0;49;0;0;0;0;0;6;0;0;0;0;0;0;20;0;0;17;47;0;0;56;475;0;0;0;9;320;0;0;0;32;0;0;0;17;0;33;0;17;121;0;56;0;0;3187;0;0;17;0;0;0;0;10;5;6;0;0;0;73;0;22;0;0;15;0;0;38;0;868;264;0;39;265;7;36;16;7;3;0;0;0;2;0;0;0;23;16;0;0;100;0;0;0;0;0;0;0;0;8;0;45;0;0;0;21;109;0;6678;9;0;0;0;0;13;0;942;0;0;0;0;35;0;0;2;0;0;0;0;0;0;54;12;0;0;0;0;0;0;0;0;10;0;0;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC372-243_S372_L001;384;4;44;0;0;0;168;5;67;0;0;0;23;5;0;10;23;0;7;0;0;0;13;93;88;0;51;0;0;431;0;101;0;0;179;63;0;129;0;101;0;0;0;7206;0;11;0;0;0;0;0;1037;0;97;0;588;0;0;0;0;14;0;0;0;0;0;0;0;0;16;0;0;2;0;0;0;0;0;0;85;16;37;0;442;5;177;0;0;6;0;0;0;0;0;0;0;0;0;0;0;229;75;1243;9;0;2;264;0;7;0;609;235;34;0;87;0;0;0;0;0;0;0;0;0;311;57;24;0;60;4;111;0;0;0;0;17;0;0;6;25;0;10;88;0;2;0;0;8;0;3;0;0;22;0;0;614;2;0;153;82;0;42;457;77;80;263;0;0;0;42;181;45;17;4;30;5;0;0;438;161;0;268;0;0;0;12;52;0;7;2;0;0;0;426;7;0;0;44;0;0;0;0;250;0;0;0;38;0;44;11;430;81;19;87;761;56;35;28;3502;0;0;14;0;0;0;133;0;29;651;0;0;11;0;0;0;7;0;9;209;21;82;9;1338;43;0;17;0;176;0;148;10;0;0;61;0;0;41;30;0;0;0;0;89;0;0;0;6;0;23;0;9;8;683;367;0;0;32;0;0;15;107;0;50;0;0;478;0;0;0;0;0;0;16;0;0;0;0;0;0;2;0;0;0;6;0;0;0;0;0;0;70;7;5;0;5;0;0;0;0;0;0;0;0
BactV5V7-BC334-189_S334_L001;1157;0;35;0;0;4;396;0;193;0;0;0;8;19;0;20;36;0;0;0;0;0;25;8;105;0;4;0;0;262;9;18;0;4;173;64;0;92;0;71;0;0;0;4157;0;0;0;0;0;0;5;757;0;92;0;337;0;0;0;0;32;0;0;0;0;0;0;0;0;19;0;0;6;0;0;0;0;0;0;204;16;2;16;152;0;166;0;0;0;0;39;0;0;0;0;0;0;4;0;0;29;30;420;19;0;8;684;0;24;0;1036;252;65;0;55;0;0;0;0;0;0;0;0;0;341;126;23;0;102;0;99;0;11;0;0;13;69;0;0;0;0;0;38;0;8;0;0;0;0;0;0;0;0;0;0;1942;0;0;293;60;0;13;351;179;101;91;0;0;0;3;172;0;4;2;11;0;0;0;1594;345;0;282;0;14;0;39;308;0;0;11;0;0;0;1128;0;0;23;58;0;0;5;0;80;0;0;0;62;0;54;0;817;29;31;147;252;124;53;2;452;0;0;7;0;0;0;130;16;13;1749;14;0;0;0;0;0;6;0;13;459;0;128;0;1435;53;0;34;0;231;0;135;8;0;0;222;0;0;165;24;0;0;0;0;40;0;0;14;0;0;40;4;16;30;1258;212;0;0;30;0;0;0;156;0;43;0;0;955;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;8;0;14;0;14;0;162;11;6;0;0;0;0;7;0;0;0;0;48
BactV5V7-BC60-182_S60_L001;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;109;41;20;0;0;0;0;0;0;0;0;0;229;0;0;0;0;3;0;0;0;1608;0;0;0;0;0;0;0;60;0;31;0;293;0;0;0;0;0;21;0;0;0;0;10;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;924;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;6;0;94;0;12;0;0;720;15;0;0;3;0;0;0;33;0;0;0;2;0;0;13;0;0;175;0;12;15;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;17;0;23030;387;0;0;39;0;4;0;3;0;0;0;0;22;0;7;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;360;0;0;0;0;0;0;0;241;0;0;0;0;294;0;0;0;0;0;0;0;0;0;150;11;0;0;0;0;0;0;46;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC370-241_S370_L001;420;6;47;0;0;0;272;0;79;0;0;0;10;23;0;7;14;0;13;0;0;10;0;177;58;0;47;0;0;555;0;107;0;0;240;67;0;130;0;92;0;0;0;6173;0;8;0;0;0;0;0;1046;31;111;0;503;0;7;29;0;0;100;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;103;93;72;56;245;2;133;0;2;25;0;0;0;0;0;0;0;0;0;30;0;225;59;1397;0;0;0;326;57;31;0;701;1105;49;43;72;0;0;0;0;0;0;4;0;0;210;71;26;19;68;5;147;0;0;0;0;36;0;0;0;68;0;0;336;0;0;0;15;0;0;0;0;0;20;0;0;756;0;0;136;57;0;57;506;58;66;373;0;0;0;15;172;86;19;0;20;22;16;0;390;118;2;353;0;7;0;10;133;53;6;0;0;0;0;436;0;0;0;40;0;0;0;6;242;0;0;0;347;0;44;0;623;35;16;68;878;42;35;23;1536;0;0;19;2;0;0;148;14;193;716;2;0;25;0;13;0;40;0;12;236;0;133;15;1162;29;0;33;0;207;2;163;5;0;0;108;0;0;26;21;0;0;0;0;54;0;82;0;0;0;0;0;44;0;588;414;0;0;30;0;0;0;111;0;37;0;0;405;0;0;0;27;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;84;0;0;0;8;0;0;3;0;0;2;0;5
BactV5V7-BC76-211_S76_L001;2;0;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;25;6;0;0;0;0;5;0;0;0;0;196;11;0;10;0;0;0;0;0;1653;0;0;0;0;0;0;0;181;12;38;0;41;0;0;0;0;0;2057;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;12;116;0;0;197;0;0;0;0;0;0;0;0;0;0;0;8;0;1437;0;0;0;0;0;0;0;8;14;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;37;0;6;8;0;0;114;0;0;630;12;0;47;13;0;0;0;4;0;0;0;0;12;0;11;0;0;144;0;0;0;0;0;0;0;0;12;0;9;0;0;0;0;2;0;5;0;0;0;8;0;17879;13;0;3;125;0;0;0;3;0;0;0;0;0;0;5;0;9;0;0;0;0;0;0;0;0;0;5;0;0;4;6;55;0;0;0;0;14;0;3735;0;0;0;0;0;0;0;0;0;0;0;0;62;0;26;0;0;0;0;0;0;0;59;26;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC28-68_S28_L001;0;0;242;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;660;3;0;0;0;0;0;0;0;0;0;0;3013;59;0;41;0;60;0;0;0;6743;0;0;0;0;0;0;0;191;14;0;0;293;0;0;0;0;0;123;0;0;19;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;128;51;0;0;174;0;0;0;0;0;0;0;0;0;0;18;0;0;416;0;0;0;0;0;0;0;0;71;0;28;10;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;70;0;0;0;29;0;17;113;731;0;193;0;0;141;19;0;0;0;0;0;0;45;0;10;0;27;20;0;19;0;0;3361;0;9;11;0;5;0;0;7;10;0;0;0;0;79;0;0;11;0;8;0;0;35;0;4132;18;0;0;384;0;3;5;27;21;0;0;0;27;0;0;0;15;0;0;0;0;0;0;0;0;0;4;5;0;6;0;18;0;0;0;12;528;5;6498;14;0;0;0;0;23;0;39;0;0;0;0;39;0;0;11;0;0;0;0;17;0;91;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0
BactV5V7-BC26-59_S26_L001;39;0;254;0;0;0;10;0;7;0;0;0;0;6;0;0;0;0;0;0;0;0;254;12;2;0;10;0;0;142;0;0;0;0;1343;51;0;0;2;20;0;0;0;5686;0;0;0;0;0;0;0;46;6;0;0;521;0;0;0;0;0;204;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;84;4;0;0;22;27;0;0;0;0;0;8;10;0;0;0;0;0;141;0;0;0;42;0;0;0;9;281;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0;0;0;26;0;0;0;0;0;4;0;0;0;9;0;27;0;0;14;0;0;0;0;0;0;0;0;0;60;0;0;34;11;0;28;71;74;8;54;0;0;636;0;27;0;0;0;0;0;16;0;24;0;16;36;0;71;0;18;1802;0;11;4;0;0;0;19;7;22;0;0;0;0;34;7;88;0;0;8;0;0;88;0;12839;0;0;20;273;0;6;11;15;0;0;0;0;8;0;0;0;18;36;0;0;0;0;0;0;0;0;35;9;0;20;5;78;0;0;0;28;19;9;2943;0;0;0;18;0;25;7;0;0;0;0;0;208;0;17;3;0;0;0;0;36;0;8;0;0;0;13;0;0;0;6;0;0;0;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0
