Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
87;BactV5V7-BC369-240_S369_L001;Bact_S240;240;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.81833871838183;0.102724811688853
88;BactV5V7-BC370-241_S370_L001;Bact_S241;241;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.13968423617152;0.102724811688853
89;BactV5V7-BC371-242_S371_L001;Bact_S242;242;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.01942367506851;0.102724811688853
90;BactV5V7-BC372-243_S372_L001;Bact_S243;243;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.92891673887319;0.102724811688853
91;BactV5V7-BC373-244_S373_L001;Bact_S244;244;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.30048643904684;0.869603200016955
92;BactV5V7-BC374-245_S374_L001;Bact_S245;245;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;2.37008994626643;0.869603200016955
93;BactV5V7-BC375-246_S375_L001;Bact_S246;246;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.41285696198489;0.869603200016955
94;BactV5V7-BC376-247_S376_L001;Bact_S247;247;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;2.38318809543976;0.869603200016955
95;BactV5V7-BC377-248_S377_L001;Bact_S248;248;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.06374114413658;0.102724811688853
96;BactV5V7-BC378-249_S378_L001;Bact_S249;249;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.03280816270021;0.102724811688853
97;BactV5V7-BC4-12_S4_L001;Bact_S12;12;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.47031330063344;0.644392343645044
98;BactV5V7-BC56-178_S56_L001;Bact_S178;178;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;2.03246762810325;0.0567468164893817
99;BactV5V7-BC57-179_S57_L001;Bact_S179;179;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.974361585797504;0.0567468164893817
100;BactV5V7-BC58-180_S58_L001;Bact_S180;180;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.774871070325663;0.0567468164893817
101;BactV5V7-BC59-181_S59_L001;Bact_S181;181;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.528291798994606;0.0567468164893817
102;BactV5V7-BC6-15_S6_L001;Bact_S15;15;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.33282132840197;0.644392343645044
103;BactV5V7-BC60-182_S60_L001;Bact_S182;182;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.632447445282222;0.0567468164893817
104;BactV5V7-BC61-183_S61_L001;Bact_S183;183;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.0668527518525;0.0567468164893817
105;BactV5V7-BC62-184_S62_L001;Bact_S184;184;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.75715385594969;0.0567468164893817
106;BactV5V7-BC63-185_S63_L001;Bact_S185;185;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.561936375716893;0.0567468164893817
107;BactV5V7-BC64-195_S64_L001;Bact_S195;195;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.50945462681649;0.0567468164893817
108;BactV5V7-BC65-196_S65_L001;Bact_S196;196;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.41609190521735;0.0567468164893817
109;BactV5V7-BC66-197_S66_L001;Bact_S197;197;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.47559344120734;0.0567468164893817
110;BactV5V7-BC67-198_S67_L001;Bact_S198;198;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.22243176875708;0.0567468164893817
111;BactV5V7-BC68-199_S68_L001;Bact_S199;199;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.80647794430066;0.0567468164893817
112;BactV5V7-BC69-200_S69_L001;Bact_S200;200;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.858416977012275;0.0567468164893817
113;BactV5V7-BC70-201_S70_L001;Bact_S201;201;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.09167265802395;0.0567468164893817
114;BactV5V7-BC71-202_S71_L001;Bact_S202;202;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.866225825002074;0.0567468164893817
115;BactV5V7-BC72-203_S72_L001;Bact_S203;203;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.22928823243557;0.0567468164893817
116;BactV5V7-BC73-205_S73_L001;Bact_S205;205;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.392918509910129;0.0567468164893817
117;BactV5V7-BC74-209_S74_L001;Bact_S209;209;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.869573385812968;0.0567468164893817
118;BactV5V7-BC75-210_S75_L001;Bact_S210;210;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.494146712334808;0.0567468164893817
119;BactV5V7-BC76-211_S76_L001;Bact_S211;211;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.12906208640361;0.0567468164893817
120;BactV5V7-BC77-217_S77_L001;Bact_S217;217;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;0.657882118113603;0.0567468164893817
121;BactV5V7-BC78-218_S78_L001;Bact_S218;218;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.03953977222546;0.0567468164893817
122;BactV5V7-BC79-219_S79_L001;Bact_S219;219;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;0.698551746380659;0.0567468164893817
123;BactV5V7-BC8-18_S8_L001;Bact_S18;18;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.54963798056763;0.644392343645044
