Sample_Name;Short_Sample;Sample_ID;Organism;Genotype;Compartment;Timepoint;Abbrev;Summary;shannon;p_value
44;FunITS-BC19-178_S19_L001;Fun_S178;178;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.74129743145535;0.772829992684454
45;FunITS-BC20-179_S20_L001;Fun_S179;179;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.86877434357221;0.772829992684454
46;FunITS-BC21-180_S21_L001;Fun_S180;180;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.23476506396345;0.772829992684454
47;FunITS-BC22-181_S22_L001;Fun_S181;181;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.64146173326819;0.772829992684454
48;FunITS-BC23-182_S23_L001;Fun_S182;182;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.66310765470498;0.772829992684454
49;FunITS-BC24-183_S24_L001;Fun_S183;183;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.47217683549567;0.772829992684454
50;FunITS-BC25-184_S25_L001;Fun_S184;184;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.35277713676964;0.772829992684454
51;FunITS-BC26-185_S26_L001;Fun_S185;185;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.77259214185024;0.772829992684454
52;FunITS-BC27-186_S27_L001;Fun_S186;186;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;0.928532815409901;0.0328335442435342
53;FunITS-BC28-187_S28_L001;Fun_S187;187;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.10875938505379;0.0328335442435342
54;FunITS-BC293-111_S293_L001;Fun_S111;111;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.42605356913783;0.0772174015717727
55;FunITS-BC294-112_S294_L001;Fun_S112;112;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.89817723693847;0.0772174015717727
56;FunITS-BC30-189_S30_L001;Fun_S189;189;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.62943002190982;0.663907901877651
57;FunITS-BC31-190_S31_L001;Fun_S190;190;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.78698375621919;0.663907901877651
58;FunITS-BC32-191_S32_L001;Fun_S191;191;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.10137914713826;0.663907901877651
59;FunITS-BC323-244_S323_L001;Fun_S244;244;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.62549832063096;0.0328335442435342
60;FunITS-BC324-245_S324_L001;Fun_S245;245;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.40462873359032;0.0328335442435342
61;FunITS-BC325-246_S325_L001;Fun_S246;246;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.19315464795721;0.0328335442435342
62;FunITS-BC326-247_S326_L001;Fun_S247;247;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.71110464653458;0.0328335442435342
63;FunITS-BC327-248_S327_L001;Fun_S248;248;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.90992307470554;0.663907901877651
64;FunITS-BC328-249_S328_L001;Fun_S249;249;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.73523725064366;0.663907901877651
65;FunITS-BC33-192_S33_L001;Fun_S192;192;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.89059358153852;0.663907901877651
66;FunITS-BC34-193_S34_L001;Fun_S193;193;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.60401544553957;0.663907901877651
67;FunITS-BC35-194_S35_L001;Fun_S194;194;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.61068437459252;0.0328335442435342
68;FunITS-BC36-195_S36_L001;Fun_S195;195;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.15159757262939;0.772829992684454
69;FunITS-BC37-196_S37_L001;Fun_S196;196;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.01306982126063;0.772829992684454
70;FunITS-BC38-197_S38_L001;Fun_S197;197;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.4038976149934;0.772829992684454
71;FunITS-BC39-198_S39_L001;Fun_S198;198;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.30725916205765;0.772829992684454
72;FunITS-BC40-199_S40_L001;Fun_S199;199;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.73712199559765;0.772829992684454
73;FunITS-BC41-200_S41_L001;Fun_S200;200;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.64437538413339;0.772829992684454
74;FunITS-BC42-201_S42_L001;Fun_S201;201;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.44510902964251;0.772829992684454
75;FunITS-BC43-202_S43_L001;Fun_S202;202;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.37183602211241;0.772829992684454
76;FunITS-BC44-203_S44_L001;Fun_S203;203;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.55833209186634;0.772829992684454
77;FunITS-BC45-204_S45_L001;Fun_S204;204;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.57390733735887;0.663907901877651
78;FunITS-BC46-205_S46_L001;Fun_S205;205;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.34537205768604;0.772829992684454
79;FunITS-BC47-206_S47_L001;Fun_S206;206;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;2.12308203082965;0.663907901877651
80;FunITS-BC48-207_S48_L001;Fun_S207;207;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.61059683558468;0.0328335442435342
81;FunITS-BC49-208_S49_L001;Fun_S208;208;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.55399679069846;0.663907901877651
82;FunITS-BC50-209_S50_L001;Fun_S209;209;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.12833123277111;0.772829992684454
83;FunITS-BC51-210_S51_L001;Fun_S210;210;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.33866493181141;0.772829992684454
84;FunITS-BC52-211_S52_L001;Fun_S211;211;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.78525843301313;0.772829992684454
85;FunITS-BC53-212_S53_L001;Fun_S212;212;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.81725775057275;0.663907901877651
86;FunITS-BC54-213_S54_L001;Fun_S213;213;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.56085299754275;0.663907901877651
87;FunITS-BC55-214_S55_L001;Fun_S214;214;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.82370323473131;0.663907901877651
88;FunITS-BC57-216_S57_L001;Fun_S216;216;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.33744938833301;0.663907901877651
89;FunITS-BC58-217_S58_L001;Fun_S217;217;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.11466484145233;0.772829992684454
90;FunITS-BC59-218_S59_L001;Fun_S218;218;H. vulgare;BI1;Roots;28 dpi;Hv;Hv_BI1_28dpi_Roots;1.39178872930899;0.772829992684454
91;FunITS-BC60-219_S60_L001;Fun_S219;219;H. vulgare;WT;Roots;28 dpi;Hv;Hv_GP_28dpi_Roots;1.06288198875771;0.772829992684454
92;FunITS-BC61-220_S61_L001;Fun_S220;220;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.5338559197293;0.663907901877651
93;FunITS-BC62-221_S62_L001;Fun_S221;221;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.08169098267651;0.0328335442435342
94;FunITS-BC63-222_S63_L001;Fun_S222;222;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.65075091136412;0.663907901877651
95;FunITS-BC64-223_S64_L001;Fun_S223;223;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.27823866678032;0.0328335442435342
96;FunITS-BC65-224_S65_L001;Fun_S224;224;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.70382805147608;0.0328335442435342
97;FunITS-BC66-225_S66_L001;Fun_S225;225;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;2.07792219873641;0.663907901877651
98;FunITS-BC67-226_S67_L001;Fun_S226;226;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.67196273438477;0.0328335442435342
99;FunITS-BC68-227_S68_L001;Fun_S227;227;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.34557696301207;0.0328335442435342
100;FunITS-BC69-228_S69_L001;Fun_S228;228;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.48112328694914;0.0328335442435342
101;FunITS-BC70-229_S70_L001;Fun_S229;229;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.49999554173556;0.0328335442435342
102;FunITS-BC71-230_S71_L001;Fun_S230;230;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.39376070015285;0.0328335442435342
103;FunITS-BC72-231_S72_L001;Fun_S231;231;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.82508494217429;0.663907901877651
104;FunITS-BC73-232_S73_L001;Fun_S232;232;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.54169411142413;0.663907901877651
105;FunITS-BC74-233_S74_L001;Fun_S233;233;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.11767313136643;0.0328335442435342
106;FunITS-BC75-234_S75_L001;Fun_S234;234;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.58156075871461;0.663907901877651
107;FunITS-BC76-235_S76_L001;Fun_S235;235;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;0.879729291400908;0.0328335442435342
108;FunITS-BC77-236_S77_L001;Fun_S236;236;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;1.52628432344355;0.0328335442435342
109;FunITS-BC78-237_S78_L001;Fun_S237;237;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.26698650438683;0.0328335442435342
110;FunITS-BC79-238_S79_L001;Fun_S238;238;H. vulgare;WT;Soil;28 dpi;Hv;Hv_GP_28dpi_Soil;0.991398317590778;0.0328335442435342
111;FunITS-BC80-239_S80_L001;Fun_S239;239;H. vulgare;BI1;Soil;28 dpi;Hv;Hv_BI1_28dpi_Soil;1.47446738419395;0.0328335442435342
112;FunITS-BC81-240_S81_L001;Fun_S240;240;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.68081610397447;0.663907901877651
113;FunITS-BC82-241_S82_L001;Fun_S241;241;H. vulgare;WT;Rhizosphere;28 dpi;Hv;Hv_GP_28dpi_Rhizosphere;1.89806461920567;0.663907901877651
114;FunITS-BC83-242_S83_L001;Fun_S242;242;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.71157492348419;0.663907901877651
115;FunITS-BC84-243_S84_L001;Fun_S243;243;H. vulgare;BI1;Rhizosphere;28 dpi;Hv;Hv_BI1_28dpi_Rhizosphere;1.69864438997355;0.663907901877651
116;FunITS-BC89-1_S89_L001;Fun_S1;1;H. vulgare;BI1;Soil;14 dpi;Hv;Hv_BI1_14dpi_Soil;1.17536806950187;0.275233524074834
117;FunITS-BC90-2_S90_L001;Fun_S2;2;H. vulgare;WT;Soil;14 dpi;Hv;Hv_GP_14dpi_Soil;1.4773209332541;0.275233524074834
118;FunITS-BC91-3_S91_L001;Fun_S3;3;H. vulgare;BI1;Rhizosphere;14 dpi;Hv;Hv_BI1_14dpi_Rhizosphere;1.55621024287424;0.0772174015717727
119;FunITS-BC92-4_S92_L001;Fun_S4;4;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.84902927072716;0.0772174015717727
120;FunITS-BC93-5_S93_L001;Fun_S5;5;H. vulgare;WT;Rhizosphere;14 dpi;Hv;Hv_GP_14dpi_Rhizosphere;1.3219469324594;0.0772174015717727
121;FunITS-BC94-6_S94_L001;Fun_S6;6;H. vulgare;BI1;Roots;14 dpi;Hv;Hv_BI1_14dpi_Roots;0.951430713952736;0.13332693177435
122;FunITS-BC95-7_S95_L001;Fun_S7;7;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.70594605169606;0.13332693177435
123;FunITS-BC98-12_S98_L001;Fun_S12;12;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.51490694541204;0.13332693177435
124;FunITS-BC99-15_S99_L001;Fun_S15;15;H. vulgare;WT;Roots;14 dpi;Hv;Hv_GP_14dpi_Roots;1.56183786345108;0.13332693177435
