X.Sample_Name	Short_Sample	Sample_ID	Organism	Genotype	Compartment	Timepoint	Abbrev	Summary
FunITS-BC79-238_S79_L001	Fun_S238	238	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC80-239_S80_L001	Fun_S239	239	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC81-240_S81_L001	Fun_S240	240	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC82-241_S82_L001	Fun_S241	241	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC83-242_S83_L001	Fun_S242	242	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC84-243_S84_L001	Fun_S243	243	H. vulgare	BI1	Rhizosphere	28 dpi	Hv	Hv_BI1_28dpi_Rhizosphere
FunITS-BC323-244_S323_L001	Fun_S244	244	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC324-245_S324_L001	Fun_S245	245	H. vulgare	BI1	Soil	28 dpi	Hv	Hv_BI1_28dpi_Soil
FunITS-BC325-246_S325_L001	Fun_S246	246	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC326-247_S326_L001	Fun_S247	247	H. vulgare	GP	Soil	28 dpi	Hv	Hv_GP_28dpi_Soil
FunITS-BC327-248_S327_L001	Fun_S248	248	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC328-249_S328_L001	Fun_S249	249	H. vulgare	GP	Rhizosphere	28 dpi	Hv	Hv_GP_28dpi_Rhizosphere
FunITS-BC176-cas_S176_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC185-cas_S185_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC329-cas_S329_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC332-cas_S332_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC348-cas_S348_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC85-cas_S85_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC88-cas_S88_L001	Fun_SEmpty	Empty	Empty	Empty	Cas	Empty	Empty	Empty_Empty_Empty_Cas
FunITS-BC186-neg_S186_L001	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC331-neg_S331_L001	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC377-neg_S377_L001	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC87-neg_S87_L001	Fun_SEmpty	Empty	Empty	Empty	Neg	Empty	Empty	Empty_Empty_Empty_Neg
FunITS-BC187-seba_S187_L001	Fun_SEmpty	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
FunITS-BC349-seba_S349_L001	Fun_SEmpty	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
FunITS-BC86-seba_S86_L001	Fun_SEmpty	Empty	Empty	Empty	Seba	Empty	Empty	Empty_Empty_Empty_Seba
FunITS-BC330-sv_S330_L001	Fun_SEmpty	Empty	Empty	Empty	Sv	Empty	Empty	Empty_Empty_Empty_Sv
